"Deployment_ID","X","Y"
"NY_Forest_Albany_Pine_Bush_20_09",1786713.86446156,2400144.39808043
"NY_Forest_Albany_Pine_Bush_20_10",1786911.03276327,2399920.11637533
"NY_Forest_Albany_Pine_Bush_20_11",1786022.12969594,2400107.76477469
"NY_Forest_Albany_Pine_Bush_20_12",1786194.10559082,2399961.34197508
"NY_Forest_Albany_Pine_Bush_20_13",1786471.95275992,2399883.68823552
"NY_Forest_Albany_Pine_Bush_20_14",1786794.99319391,2399721.43192271
"NY_Forest_Albany_Pine_Bush_20_15",1786986.33645387,2399592.25104384
"NY_Forest_Dyken_Pond_20_01",1819200.22514573,2410235.74032701
"NY_Forest_Dyken_Pond_20_02",1819290.76784775,2410031.13816098
"NY_Forest_Dyken_Pond_20_03",1819345.98497278,2409834.08522852
"NY_Forest_Dyken_Pond_20_04",1819429.93043008,2409618.68729644
"NY_Forest_Dyken_Pond_20_05",1819501.22602287,2409410.57618932
"NY_Forest_Dyken_Pond_20_06",1819430.21420242,2410323.58590601
"NY_Forest_Dyken_Pond_20_07",1819492.80909117,2410113.3717403
"NY_Forest_Dyken_Pond_20_08",1819567.79583175,2409900.40665952
"NY_Forest_Dyken_Pond_20_09",1819647.26318643,2409682.77620654
"NY_Forest_Dyken_Pond_20_10",1819698.53147818,2409484.76676917
"NY_Forest_Dyken_Pond_20_11",1819644.62189832,2410382.37254743
"NY_Forest_Dyken_Pond_20_12",1819715.40246243,2410179.88892644
"NY_Forest_Dyken_Pond_20_13",1819773.77538659,2409956.00471569
"NY_Forest_Dyken_Pond_20_14",1819861.43397144,2409753.00556961
"NY_Forest_Mianus_River_Gorge_20_01",1845428.045566,2238179.48734504
"NY_Forest_Mianus_River_Gorge_20_02",1846334.87946028,2236480.22000083
"NY_Forest_Mianus_River_Gorge_20_03",1845799.67980356,2235931.42182114
"NY_Forest_Mianus_River_Gorge_20_04",1845955.20843234,2237070.59203778
"NY_Forest_Mianus_River_Gorge_20_05",1845703.4230435,2236892.73309729
"NY_Forest_Mianus_River_Gorge_20_06",1845562.72138557,2237311.45220644
"NY_Forest_Mianus_River_Gorge_20_07",1845615.40140118,2236645.94859356
"NY_Forest_Mianus_River_Gorge_20_09",1844924.78924524,2238725.36200741
"NY_Forest_Mianus_River_Gorge_20_10",1845280.69975501,2235439.64381542
"NY_Forest_Mianus_River_Gorge_20_11",1844921.39800016,2235584.89052988
"NY_Forest_Mianus_River_Gorge_20_12",1844860.86503521,2235205.40546444
"NY_Forest_Mianus_River_Gorge_20_13",1845518.26205711,2235687.75023364
"NY_Forest_Mianus_River_Gorge_20_14",1845209.97402365,2238003.97086276
"NY_Forest_Mianus_River_Gorge_20_15",1845817.20834162,2236186.62312297
"NY_Forest_Mianus_River_Gorge_20_16",1845143.34706279,2238460.03144481
"NY_Forest_Mianus_River_Gorge_20_17",1844944.39584679,2237562.62405419
"NY_Forest_Mianus_River_Gorge_20_18",1845377.9910654,2237639.01213741
"NY_Forest_Mianus_River_Gorge_20_19",1845958.61985765,2235393.87769753
"NY_Forest_Mianus_River_Gorge_20_20",1845044.74513234,2236616.12661583
"NY_Forest_Paul_Smiths_College_20_02",1715646.96461831,2582576.9387829
"NY_Forest_Paul_Smiths_College_20_03",1715894.84461619,2582772.12752563
"NY_Forest_Paul_Smiths_College_20_05",1715491.37707159,2582963.9257458
"NY_Forest_St_Lawrence_University_20_02",1648393.04309535,2565481.99966232
"NY_Forest_St_Lawrence_University_20_03",1650355.16081619,2559081.73810469
"NY_Forest_St_Lawrence_University_20_04",1653607.56723413,2554820.01541753
"NY_Forest_St_Lawrence_University_20_06",1633444.57217574,2580660.26018617
"NY_Forest_St_Lawrence_University_20_08",1657341.54845371,2552711.35063081
"NY_Forest_St_Lawrence_University_20_09",1662738.63549179,2550727.16323199
"NY_Forest_St_Lawrence_University_20_10",1663804.69314276,2551607.30235879
"NY_Forest_St_Lawrence_University_20_11",1639293.84060653,2570869.94373102
"NY_Forest_St_Lawrence_University_20_12",1649198.78753133,2562282.68569289
"NY_Forest_St_Lawrence_University_20_13",1638138.66400492,2579480.03697103
"NY_Forest_St_Lawrence_University_20_14",1678421.71778196,2551821.42116271
"OR_Forest_Cow_Creek_20_01",-2159998.03106468,2544826.79596095
"OR_Forest_Cow_Creek_20_02",-2159699.26689542,2543630.40106511
"OR_Forest_Cow_Creek_20_03",-2159947.68042597,2542024.96941812
"OR_Forest_Cow_Creek_20_04",-2155912.21631585,2540390.08228309
"OR_Forest_Cow_Creek_20_05",-2154247.49459317,2540200.05338362
"OR_Forest_Cow_Creek_20_06",-2156789.60981022,2540401.80331815
"OR_Forest_Cow_Creek_20_09",-2154758.78885491,2537890.69837309
"OR_Forest_Cow_Creek_20_10",-2154530.59104468,2536455.91917994
"OR_Forest_Cow_Creek_20_11",-2153474.86409065,2536111.08053295
"OR_Forest_Cow_Creek_20_12",-2154635.7371607,2534470.23193297
"OR_Forest_Cow_Creek_20_16",-2153803.36235101,2531713.50005457
"OR_Forest_Cow_Creek_20_17",-2155557.11881243,2530000.81198534
"OR_Forest_Cow_Creek_20_18",-2156611.35050547,2527942.41650799
"OR_Forest_Oregon_State_University_20_01",-2148613.9553043,2695439.83111924
"OR_Forest_Oregon_State_University_20_02",-2149142.3197127,2695585.17255767
"OR_Forest_Oregon_State_University_20_03",-2149732.30639601,2695272.30726007
"OR_Forest_Oregon_State_University_20_04",-2149717.16420508,2694849.36123796
"OR_Forest_Oregon_State_University_20_05",-2149645.60033099,2694002.82568135
"OR_Forest_Oregon_State_University_20_06",-2149745.884219,2693637.4199564
"OR_Forest_Oregon_State_University_20_07",-2150015.57908794,2693287.47724298
"OR_Forest_Oregon_State_University_20_08",-2150513.07157217,2693063.35234281
"OR_Forest_Oregon_State_University_20_09",-2151228.23370098,2692915.58123214
"OR_Forest_Oregon_State_University_20_10",-2151837.36237248,2693096.69964518
"OR_Forest_Oregon_State_University_20_11",-2152339.17080956,2693443.5735733
"OR_Forest_Oregon_State_University_20_12",-2153228.83589735,2693406.02146404
"OR_Forest_Oregon_State_University_20_13",-2152618.35639372,2693480.1283321
"OR_Forest_Oregon_State_University_20_14",-2150864.63377456,2692912.11324447
"OR_Forest_Oregon_State_University_20_15",-2149649.34265135,2694492.12593814
"PA_Forest_Gettysburg_College_20_01",1583277.49668563,2023009.42949257
"PA_Forest_Gettysburg_College_20_02",1582978.90241555,2023161.05572739
"PA_Forest_Gettysburg_College_20_03",1583178.59582445,2023295.89610032
"PA_Forest_Gettysburg_College_20_05",1583163.01717142,2023507.62406485
"PA_Forest_Gettysburg_College_20_06",1582586.68661322,2023655.07022564
"PA_Forest_Gettysburg_College_20_08",1583142.16634572,2023823.43434774
"PA_Forest_Rothrock_20_01",1524045.11729448,2116692.68589707
"PA_Forest_Rothrock_20_02",1520667.50040206,2117233.69718876
